10,11,108,orthogonal frequency division multiple access,quadrature phase-shift keying
6,11,66,document,quadrature phase-shift keying
5,11,24,copyright,quadrature phase-shift keying
12,11,66,standard,quadrature phase-shift keying
8,11,24,electronic,quadrature phase-shift keying
13,11,45,technology,quadrature phase-shift keying
2,11,24,application,quadrature phase-shift keying
7,11,57,downlink,quadrature phase-shift keying
9,11,54,information element,quadrature phase-shift keying
3,11,114,base station,quadrature phase-shift keying
11,11,0,quadrature phase-shift keying,quadrature phase-shift keying
4,11,63,channel,quadrature phase-shift keying
3,12,27,base station,standard
11,12,66,quadrature phase-shift keying,standard
4,12,31,channel,standard
0,12,239,IEEE,standard
1,12,31,IEEE 802.16,standard
10,12,44,orthogonal frequency division multiple access,standard
6,12,25,document,standard
5,12,11,copyright,standard
12,12,0,standard,standard
8,12,11,electronic,standard
13,12,20,technology,standard
2,12,11,application,standard
7,12,35,downlink,standard
9,12,45,information element,standard
3,13,20,base station,technology
11,13,45,quadrature phase-shift keying,technology
4,13,21,channel,technology
0,13,173,IEEE,technology
1,13,23,IEEE 802.16,technology
10,13,30,orthogonal frequency division multiple access,technology
6,13,18,document,technology
5,13,8,copyright,technology
12,13,20,standard,technology
8,13,8,electronic,technology
13,13,0,technology,technology
2,13,8,application,technology
7,13,24,downlink,technology
9,13,30,information element,technology
